Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
17-01-2025,12:36:40,BK986630,Failed,C39662,eBike,Dharmatala,Bowbazar,null,null,null,More than permitted people in there,null,null,2078,null,0,null,null
02-01-2025,13:02:04,BK721561,Success,C61915,Bike,Naktala,Barasat,154,80,null,null,No,null,914,UPI,37,4.2,3.8
08-01-2025,17:23:11,BK189964,Failed,C80814,Prime Sedan,Hazra,Park Street,294,145,null,null,No,null,1785,Cash,45,4.1,4.3
15-01-2025,22:05:46,BK451109,Success,C74840,Mini,Alipore,Metiabruz,null,null,Driver is not moving towards pickup location,null,null,null,540,null,0,null,null
03-01-2025,21:00:18,BK950130,Success,C53968,Bike,Shalimar,Garden Reach,null,null,null,null,null,null,479,null,0,null,null
06-01-2025,12:35:13,BK528589,Success,C72293,Mini,Burrabazar,Patuli,175,105,null,null,No,null,176,Cash,17,3.8,3.1
15-01-2025,07:50:25,BK860884,Success,C20386,Bike,Chowringhee,Dharmatala,301,80,null,null,No,null,304,UPI,29,4.7,4.4
11-01-2025,05:39:06,BK396603,Success,C23396,Mini,New Town,Kidderpore,null,null,null,null,null,null,926,null,0,null,null
29-01-2025,14:12:14,BK617563,Success,C86454,Bike,Bhawanipore,Sinthi,null,null,null,Personal & Car related issue,null,null,291,null,0,null,null
26-01-2025,18:11:24,BK754672,Success,C90836,Prime SUV,New Town,Chowringhee,224,25,null,null,No,null,444,UPI,12,4.3,3.2
21-01-2025,22:06:04,BK578577,Success,C91697,Mini,Tollygunge,Sealdah,287,100,null,null,No,null,478,UPI,30,3.5,4.6
01-01-2025,15:01:56,BK557729,Failed,C46363,Prime Plus,Salt Lake,Baguiati,63,60,null,null,No,null,375,Cash,14,4.8,3.7
02-01-2025,21:13:05,BK750475,Success,C91439,Prime Plus,Howrah,Shyambazar,98,35,null,null,No,null,110,UPI,19,4.4,3.6
07-01-2025,21:55:53,BK796383,Success,C41324,Auto,Dunlop,Maniktala,308,95,null,null,No,null,2038,Cash,44,3.7,4.1
04-01-2025,07:40:37,BK590947,Success,C33574,Prime Sedan,Baguiati,Sonarpur,null,null,null,null,null,null,945,null,0,null,null
04-01-2025,02:38:26,BK786100,Success,C22534,Prime SUV,Garia,Tollygunge,null,null,null,Customer was coughing/sick,null,null,182,null,0,null,null
27-01-2025,22:09:20,BK959550,Failed,C87377,Auto,Baguiati,Shyambazar,null,null,null,More than permitted people in there,null,null,1086,null,0,null,null
05-01-2025,16:58:40,BK485075,Success,C98949,Prime Plus,Jadavpur,Metiabruz,null,null,null,null,null,null,234,null,0,null,null
11-01-2025,06:36:41,BK625708,Success,C27230,Auto,Ultadanga,Behala,56,65,null,null,No,null,230,Credit Card,48,3.1,5
26-01-2025,17:09:06,BK626452,Success,C47584,Mini,Shalimar,Behala,147,75,null,null,No,null,114,UPI,3,3.4,4.5
06-01-2025,14:48:14,BK741421,Success,C83286,Prime Plus,Sealdah,Garia,null,null,Wrong Address,null,null,null,495,null,0,null,null
07-01-2025,02:35:01,BK787551,Success,C58731,Prime SUV,Shalimar,Moulali,252,145,null,null,No,null,242,Cash,3,3.2,3.6
07-01-2025,05:42:28,BK169623,Success,C51145,Bike,Sinthi,Shyambazar,null,null,Driver is not moving towards pickup location,null,null,null,267,null,0,null,null
26-01-2025,17:28:56,BK565454,Failed,C80994,eBike,Kankurgachi,Kidderpore,70,90,null,null,No,null,471,Cash,35,4.9,4.6
03-01-2025,07:16:55,BK415930,Failed,C88959,Prime SUV,Kankurgachi,Barasat,null,null,null,Personal & Car related issue,null,null,398,null,0,null,null
08-01-2025,14:48:03,BK628202,Failed,C93962,Prime SUV,Dharmatala,Bhawanipore,133,45,null,null,No,null,390,UPI,45,3.7,3.1
29-01-2025,07:44:43,BK726077,Success,C34938,eBike,Garia,Sonarpur,null,null,null,null,null,null,551,null,0,null,null
23-01-2025,07:02:37,BK806851,Success,C90818,Bike,Salt Lake,Kasba,null,null,AC is Not working,null,null,null,870,null,0,null,null
13-01-2025,14:18:00,BK216115,Success,C11915,Prime Sedan,Moulali,Shyambazar,154,35,null,null,No,null,285,Cash,9,3.3,3.2
14-01-2025,09:50:43,BK439087,Failed,C16313,Prime Sedan,Garia,Golf Green,217,65,null,null,No,null,157,Cash,31,4,3.1
04-01-2025,10:11:46,BK371634,Success,C47285,Prime Plus,Howrah,Moulali,224,145,null,null,No,null,981,Cash,44,3.2,4.9
04-01-2025,07:42:44,BK302731,Success,C36966,Bike,Shalimar,Dharmatala,null,null,null,null,null,null,465,null,0,null,null
02-01-2025,11:28:43,BK849806,Success,C26261,Bike,Bhawanipore,Rashbehari,null,null,Driver asked to cancel,null,null,null,757,null,0,null,null
17-01-2025,07:18:55,BK801248,Failed,C79182,Auto,Howrah,Ultadanga,266,35,null,null,No,null,427,Cash,4,3.4,4.9
10-01-2025,16:04:58,BK585005,Success,C34261,Mini,Sonarpur,Bowbazar,null,null,null,null,null,null,2273,null,0,null,null
13-01-2025,04:09:32,BK868690,Success,C41092,Prime Sedan,Sonarpur,Patuli,287,85,null,null,No,null,254,Cash,32,4.7,4
23-01-2025,14:33:24,BK235502,Failed,C26069,Prime Plus,Patuli,Garden Reach,168,115,null,null,No,null,445,Cash,18,4.2,4.5
21-01-2025,07:50:15,BK140843,Success,C66105,Prime Sedan,Behala,Alipore,null,null,null,null,null,null,773,null,0,null,null
16-01-2025,17:34:39,BK932024,Failed,C92970,eBike,Park Street,Howrah,70,50,null,null,No,null,465,UPI,21,3.8,4.4
16-01-2025,05:02:16,BK741102,Success,C74821,Prime Plus,College Street,Entally,98,135,null,null,No,null,417,UPI,25,4.2,4.1
29-01-2025,21:11:03,BK662062,Success,C94396,Auto,Naktala,Howrah,238,90,null,null,No,null,211,Cash,24,3.2,4.2
30-01-2025,20:56:15,BK185206,Failed,C84102,Auto,New Town,Dharmatala,245,110,null,null,No,null,120,UPI,34,3.4,3.6
22-01-2025,18:15:32,BK475102,Success,C76421,Prime Plus,Lake Town,Ballygunge,null,null,null,null,null,null,414,null,0,null,null
24-01-2025,16:43:26,BK502353,Success,C92569,Auto,Hazra,Bowbazar,238,115,null,null,No,null,552,Cash,27,4.5,3.7
26-01-2025,12:59:01,BK467980,Success,C79555,Prime SUV,Bowbazar,Burrabazar,273,60,null,null,No,null,325,UPI,14,4.5,4.9
30-01-2025,18:17:21,BK296198,Failed,C26283,Prime Sedan,Kalighat,Metiabruz,null,null,null,null,null,null,347,null,0,null,null
02-01-2025,23:02:08,BK727199,Failed,C78428,Prime Plus,Moulali,Belgachia,null,null,Driver is not moving towards pickup location,null,null,null,394,null,0,null,null
17-01-2025,00:40:02,BK845606,Success,C89609,eBike,Golf Green,Shalimar,56,95,null,null,No,null,366,UPI,38,4.9,3.2
18-01-2025,22:35:21,BK199589,Success,C47580,Mini,Naktala,Shalimar,112,90,null,null,No,null,700,Cash,49,4.8,4.7
04-01-2025,02:08:34,BK422849,Failed,C64363,eBike,Maniktala,Kasba,null,null,null,null,null,null,953,null,0,null,null
10-01-2025,06:50:35,BK181617,Failed,C33095,Prime Plus,Baguiati,Garia,null,null,null,null,null,null,307,null,0,null,null
27-01-2025,19:03:30,BK720833,Success,C46820,Prime SUV,Bhawanipore,Salt Lake,70,45,null,null,No,null,877,Cash,7,4.2,4
09-01-2025,17:52:42,BK441916,Success,C11568,Prime SUV,Moulali,College Street,175,115,null,null,No,null,439,Cash,27,3.7,4.5
05-01-2025,02:04:27,BK553535,Success,C70029,Prime Plus,Behala,Howrah,null,null,null,null,null,null,454,null,0,null,null
24-01-2025,16:19:28,BK491314,Failed,C62672,Mini,Dumdum,Kasba,252,140,null,null,No,null,939,Cash,21,3.1,3.7
08-01-2025,20:16:18,BK426170,Failed,C22423,Prime Sedan,Sinthi,Dunlop,189,80,null,null,No,null,764,Cash,25,4,4.3
24-01-2025,21:04:52,BK919861,Success,C63876,Prime Sedan,Dumdum,Burrabazar,287,30,null,null,No,null,1199,Cash,21,3.7,3.5
20-01-2025,11:49:32,BK287216,Success,C79707,Prime Sedan,Dharmatala,Barasat,56,120,null,null,No,null,987,Cash,8,3.5,3.5
29-01-2025,10:59:27,BK236045,Failed,C44896,Prime SUV,Dumdum,Baguiati,91,80,null,null,No,null,595,Cash,5,3.9,3.2
14-01-2025,16:41:32,BK166912,Success,C94118,Prime Sedan,Barasat,Entally,null,null,null,null,null,null,224,null,0,null,null
26-01-2025,14:29:21,BK821554,Failed,C10211,Prime Sedan,Garden Reach,Jora Bridge,273,60,null,null,No,null,958,Cash,19,4.9,4.8
14-01-2025,14:50:34,BK181284,Success,C24032,eBike,Barasat,Rajarhat,147,80,null,null,No,null,943,Cash,31,3,3.5
09-01-2025,13:56:05,BK851117,Success,C67076,Bike,Chowringhee,Patuli,null,null,null,null,null,null,304,null,0,null,null
28-01-2025,10:51:38,BK747682,Success,C72525,Prime SUV,Garia,Bhawanipore,null,null,null,null,null,null,476,null,0,null,null
17-01-2025,09:24:01,BK396705,Success,C54498,Auto,Hazra,Jadavpur,252,75,null,null,No,null,853,UPI,12,4.8,3.6
06-01-2025,14:22:43,BK364959,Success,C75457,Prime Sedan,Maniktala,Kalighat,147,130,null,null,No,null,476,Cash,29,4.9,4.8
08-01-2025,03:24:34,BK234690,Failed,C49778,eBike,Kankurgachi,Jora Bridge,133,135,null,null,No,null,865,UPI,8,4.1,3.3
25-01-2025,19:35:13,BK398196,Success,C79490,Prime Sedan,Howrah,Lake Gardens,null,null,null,Customer was coughing/sick,null,null,159,null,0,null,null
19-01-2025,08:11:59,BK414185,Success,C74514,Mini,Dharmatala,Patuli,287,80,null,null,No,null,431,Cash,2,4.1,3.9
22-01-2025,12:55:01,BK607471,Success,C97715,Mini,Park Street,Dumdum,175,125,null,null,No,null,240,Cash,18,3.2,4.7
22-01-2025,04:57:18,BK857177,Success,C30972,Prime Plus,Kankurgachi,Behala,63,90,null,null,No,null,221,Cash,6,4.9,3.4
03-01-2025,14:36:22,BK431281,Success,C60898,Bike,Sinthi,Kidderpore,null,null,null,Customer related issue,null,null,110,null,0,null,null
25-01-2025,05:43:24,BK873805,Failed,C37650,Bike,Rajarhat,Kankurgachi,63,30,null,null,No,null,149,UPI,14,3.5,4.1
22-01-2025,12:39:59,BK833190,Success,C72381,Prime SUV,Sinthi,Shalimar,null,null,null,Customer was coughing/sick,null,null,2531,null,0,null,null
03-01-2025,12:48:00,BK655139,Success,C22655,Prime Sedan,Rajarhat,Ultadanga,308,95,null,null,No,null,262,Cash,5,3.4,4.6
16-01-2025,03:12:25,BK379982,Success,C14032,Mini,Chowringhee,Sonarpur,null,null,null,Personal & Car related issue,null,null,140,null,0,null,null
13-01-2025,04:05:47,BK740785,Failed,C16662,Prime Sedan,Lake Gardens,Salt Lake,null,null,null,null,null,null,300,null,0,null,null
25-01-2025,07:18:28,BK828935,Success,C41901,Prime Plus,Rashbehari,Ballygunge,203,95,null,null,No,null,358,UPI,44,3.4,3.3
11-01-2025,21:14:36,BK456265,Failed,C25067,eBike,Jora Bridge,Belgachia,77,65,null,null,No,null,110,Cash,5,3.8,4.9
13-01-2025,05:09:17,BK640842,Success,C52028,Prime Plus,Shalimar,Garden Reach,210,140,null,null,No,null,989,Cash,42,4.4,3.6
28-01-2025,22:09:39,BK889839,Failed,C76499,Prime Sedan,Burrabazar,Bowbazar,null,null,null,Personal & Car related issue,null,null,333,null,0,null,null
20-01-2025,04:41:12,BK547503,Success,C31564,eBike,Dharmatala,Alipore,null,null,null,null,null,null,944,null,0,null,null
21-01-2025,09:23:15,BK384612,Failed,C79618,Prime SUV,Sonarpur,Dumdum,147,100,null,null,No,null,761,UPI,39,3.5,3.2
05-01-2025,20:42:35,BK318673,Success,C50578,Mini,Lake Gardens,Jora Bridge,null,null,null,null,null,null,206,null,0,null,null
05-01-2025,23:19:25,BK449815,Success,C10120,eBike,Salt Lake,Jora Bridge,140,90,null,null,No,null,181,UPI,20,4.3,4.5
21-01-2025,14:51:52,BK948205,Success,C99502,Prime Sedan,Bowbazar,Madhyamgram,null,null,null,null,null,null,246,null,0,null,null
29-01-2025,18:53:50,BK458118,Success,C20022,Prime Sedan,Alipore,Maniktala,259,120,null,null,No,null,305,Credit Card,38,3.9,4.4
18-01-2025,08:55:39,BK773280,Success,C47009,Bike,Madhyamgram,Park Street,266,100,null,null,No,null,206,UPI,48,4.5,4.7
06-01-2025,04:01:51,BK364145,Success,C83942,eBike,Howrah,Esplanade,147,50,null,null,No,null,494,UPI,45,4.1,4.4
23-01-2025,19:08:24,BK952579,Success,C53335,Prime Sedan,Park Street,Shalimar,119,130,null,null,No,null,697,Cash,10,3.4,3.6
01-01-2025,18:54:36,BK141663,Success,C76323,eBike,Garia,Kasba,77,85,null,null,Yes,Other Issue,2185,UPI,17,3.9,4.8
23-01-2025,01:07:44,BK238733,Success,C77580,Bike,Jadavpur,Dunlop,224,90,null,null,No,null,483,Cash,20,4.4,4.9
23-01-2025,14:35:46,BK564287,Failed,C20731,Prime Plus,Shyambazar,Sealdah,35,35,null,null,No,null,246,UPI,31,5,4
04-01-2025,16:33:23,BK934997,Failed,C70702,Prime Plus,Kalighat,Lake Town,147,40,null,null,No,null,602,Cash,14,5,4.7
14-01-2025,13:43:43,BK351632,Failed,C59270,Prime Sedan,Tollygunge,Kasba,null,null,null,null,null,null,105,null,0,null,null
17-01-2025,23:28:08,BK857458,Failed,C89236,Mini,Tollygunge,Rashbehari,301,100,null,null,No,null,394,Cash,31,4,4.1
05-01-2025,16:04:46,BK378159,Success,C89507,Auto,Sealdah,Garden Reach,189,70,null,null,No,null,306,UPI,46,3.4,3.4
26-01-2025,11:54:19,BK349727,Success,C47287,Auto,Park Street,Burrabazar,196,145,null,null,No,null,559,UPI,1,3.8,3.2
27-01-2025,22:03:45,BK437772,Success,C66442,Prime Plus,BBD Bagh,Metiabruz,245,25,null,null,No,null,255,Cash,32,3.9,4.8
26-01-2025,19:33:38,BK569784,Success,C75764,Prime Sedan,Howrah,Kankurgachi,null,null,Driver is not moving towards pickup location,null,null,null,245,null,0,null,null
25-01-2025,09:48:09,BK551233,Success,C60013,Prime Plus,Tollygunge,Golf Green,49,30,null,null,No,null,434,UPI,14,3,4.2
18-01-2025,14:02:01,BK534846,Failed,C64710,Prime Plus,Garden Reach,Ballygunge,161,70,null,null,No,null,1427,Cash,8,4.4,4.8
25-01-2025,20:11:03,BK566695,Success,C73338,Prime SUV,Baguiati,Kankurgachi,null,null,Wrong Address,null,null,null,335,null,0,null,null
30-01-2025,10:12:21,BK176530,Failed,C17539,Prime Plus,Esplanade,Dharmatala,245,135,null,null,No,null,209,UPI,9,4.4,3.9
28-01-2025,22:37:46,BK997478,Failed,C41964,Mini,Tollygunge,Bhawanipore,217,140,null,null,Yes,Customer Demand,331,UPI,16,3.6,4.2
08-01-2025,13:24:26,BK980836,Failed,C51549,eBike,Jadavpur,Naktala,null,null,null,More than permitted people in there,null,null,422,null,0,null,null
11-01-2025,08:54:02,BK737436,Failed,C51085,Bike,Alipore,Dunlop,294,25,null,null,No,null,829,UPI,17,3.8,4.6
17-01-2025,15:33:21,BK511797,Success,C55241,Mini,Shyambazar,Alipore,84,45,null,null,No,null,298,Cash,9,4,5
26-01-2025,16:13:11,BK976691,Success,C85896,eBike,Kasba,Moulali,null,null,null,null,null,null,633,null,0,null,null
01-01-2025,08:25:43,BK998751,Success,C47327,Mini,Sinthi,Sealdah,null,null,null,More than permitted people in there,null,null,279,null,0,null,null
15-01-2025,18:06:03,BK339510,Success,C66495,Prime SUV,Park Street,Kidderpore,168,70,null,null,No,null,825,Cash,28,3.9,4.7
13-01-2025,20:14:16,BK208727,Success,C93181,Mini,New Town,Gariahat,null,null,null,Customer was coughing/sick,null,null,368,null,0,null,null
14-01-2025,08:03:09,BK439685,Success,C71409,Auto,Park Street,Chowringhee,245,100,null,null,No,null,292,UPI,1,4.5,3.9
09-01-2025,12:47:39,BK871281,Failed,C88157,eBike,Baguiati,Behala,287,55,null,null,No,null,345,Cash,3,3.9,3.2
25-01-2025,03:54:16,BK555641,Success,C61481,Prime Sedan,Golf Green,Burrabazar,null,null,AC is Not working,null,null,null,205,null,0,null,null
21-01-2025,13:39:24,BK531494,Success,C39888,Bike,Dharmatala,Naktala,null,null,AC is Not working,null,null,null,2542,null,0,null,null
05-01-2025,19:16:25,BK792455,Success,C31530,Prime SUV,Howrah,Jadavpur,98,60,null,null,No,null,359,UPI,24,4.8,4.5
29-01-2025,19:16:48,BK229097,Success,C44323,Bike,Maniktala,Sonarpur,null,null,null,Customer was coughing/sick,null,null,380,null,0,null,null
15-01-2025,21:23:31,BK500674,Success,C58976,Prime Sedan,New Town,Dumdum,301,100,null,null,No,null,845,UPI,1,4,4.4
24-01-2025,02:52:39,BK356340,Failed,C43675,Prime Sedan,Garia,Alipore,42,120,null,null,No,null,333,UPI,48,3,4.7
03-01-2025,21:34:37,BK409599,Failed,C76676,eBike,Tollygunge,Behala,null,null,Driver is not moving towards pickup location,null,null,null,508,null,0,null,null
06-01-2025,05:40:36,BK243823,Success,C38901,Mini,Lake Town,College Street,161,105,null,null,No,null,221,Cash,14,4.1,3.6
02-01-2025,09:31:48,BK169296,Failed,C75331,eBike,Hazra,Gariahat,154,95,null,null,No,null,259,UPI,31,3.4,3.8
13-01-2025,05:38:56,BK460129,Success,C53955,Auto,Shalimar,Lake Gardens,224,140,null,null,No,null,659,Cash,11,4.6,3.1
10-01-2025,15:15:59,BK136340,Success,C63375,Bike,Bowbazar,Kidderpore,217,80,null,null,No,null,444,Cash,37,3.6,3.8
23-01-2025,20:04:02,BK122204,Failed,C28604,Prime SUV,Moulali,Rashbehari,49,80,null,null,No,null,380,Cash,13,4.7,4
27-01-2025,06:23:09,BK382934,Success,C15248,Bike,Garia,Jora Bridge,140,100,null,null,No,null,261,UPI,10,3.5,4.8
19-01-2025,09:57:12,BK301141,Success,C80907,eBike,Rajarhat,Gariahat,294,65,null,null,No,null,135,Cash,45,4.6,4
27-01-2025,12:11:46,BK719450,Success,C64746,Prime Plus,Alipore,Ultadanga,266,25,null,null,No,null,466,Cash,42,3.7,3.4
11-01-2025,10:33:19,BK591251,Success,C57914,eBike,Rajarhat,Golf Green,175,120,null,null,No,null,317,Cash,13,4.5,3.5
05-01-2025,12:46:11,BK726600,Success,C45603,Mini,Hazra,Entally,266,25,null,null,No,null,405,UPI,42,3.3,3.1
18-01-2025,05:25:05,BK832549,Failed,C14993,Auto,Barasat,Patuli,147,135,null,null,No,null,817,Cash,14,4.6,4.2
27-01-2025,09:29:34,BK592684,Success,C37003,Mini,Maniktala,Jadavpur,175,60,null,null,No,null,386,Cash,9,3.3,4.4
10-01-2025,14:14:33,BK889597,Success,C41752,Auto,Howrah,Rajarhat,null,null,null,Customer was coughing/sick,null,null,257,null,0,null,null
10-01-2025,20:09:53,BK356199,Failed,C63091,Mini,Lake Town,Maniktala,null,null,null,null,null,null,355,null,0,null,null
27-01-2025,08:15:26,BK371047,Success,C56869,Prime Sedan,Salt Lake,Madhyamgram,null,null,Change of plans,null,null,null,478,null,0,null,null
01-01-2025,08:43:13,BK686570,Success,C13766,Prime SUV,Chowringhee,Golf Green,105,90,null,null,No,null,186,Cash,41,4.8,3.9
28-01-2025,13:32:59,BK338805,Success,C14074,eBike,Ultadanga,Kalighat,null,null,AC is Not working,null,null,null,411,null,0,null,null
01-01-2025,22:58:29,BK267753,Success,C60575,Prime Sedan,Bhawanipore,Tollygunge,null,null,null,More than permitted people in there,null,null,264,null,0,null,null
13-01-2025,04:11:49,BK615611,Success,C93535,eBike,Barasat,Moulali,308,100,null,null,No,null,2385,UPI,7,4.5,4.5
23-01-2025,17:11:09,BK885021,Success,C21355,Prime Sedan,Rashbehari,Kasba,null,null,null,null,null,null,486,null,0,null,null
16-01-2025,04:38:12,BK392973,Success,C82071,Prime Sedan,Belgachia,Tollygunge,77,145,null,null,No,null,602,UPI,40,4.7,3.5
28-01-2025,18:19:39,BK714847,Failed,C52419,Bike,Kidderpore,Moulali,301,30,null,null,No,null,350,UPI,6,3.6,3.2
03-01-2025,10:28:49,BK154857,Failed,C66759,eBike,Kasba,Tollygunge,224,100,null,null,No,null,139,Cash,26,4.6,4
25-01-2025,19:07:04,BK924943,Success,C65863,Prime SUV,Hazra,Dumdum,null,null,null,Customer was coughing/sick,null,null,430,null,0,null,null
16-01-2025,18:45:04,BK399708,Failed,C62766,Auto,Baguiati,Sealdah,133,65,null,null,No,null,429,Cash,9,3.5,4.9
23-01-2025,15:05:24,BK243373,Failed,C90431,Prime SUV,Garia,Burrabazar,null,null,null,Customer was coughing/sick,null,null,813,null,0,null,null
18-01-2025,13:11:01,BK695078,Success,C68161,Prime SUV,Jadavpur,Belgachia,168,130,null,null,No,null,143,Cash,18,5,4.5
22-01-2025,18:06:28,BK467136,Failed,C64928,eBike,Ballygunge,Tollygunge,null,null,null,Customer related issue,null,null,293,null,0,null,null
21-01-2025,18:47:35,BK108757,Success,C87956,Prime SUV,Lake Gardens,Dunlop,77,110,null,null,No,null,460,UPI,16,3.1,4.7
31-01-2025,11:03:17,BK375778,Success,C91955,Auto,Garia,Dumdum,105,90,null,null,No,null,411,UPI,31,4.6,3.2
13-01-2025,01:45:37,BK180837,Success,C29552,Mini,Kankurgachi,New Town,null,null,null,null,null,null,462,null,0,null,null
26-01-2025,15:16:56,BK129066,Success,C26807,Prime Sedan,Naktala,Jora Bridge,null,null,null,null,null,null,120,null,0,null,null
02-01-2025,15:16:46,BK117390,Success,C66190,Bike,Moulali,Garia,217,35,null,null,No,null,203,Cash,4,3.8,3.8
28-01-2025,13:33:45,BK588097,Success,C40779,Bike,Jadavpur,Naktala,null,null,null,Customer was coughing/sick,null,null,479,null,0,null,null
27-01-2025,06:34:14,BK998000,Success,C72697,Mini,New Town,Naktala,null,null,null,null,null,null,359,null,0,null,null
04-01-2025,04:26:03,BK324386,Success,C62127,Auto,BBD Bagh,Dumdum,168,115,null,null,No,null,377,Cash,28,3.1,3.4
31-01-2025,06:51:59,BK134094,Success,C55133,eBike,BBD Bagh,Shalimar,null,null,null,Personal & Car related issue,null,null,862,null,0,null,null
08-01-2025,03:57:06,BK846010,Failed,C49924,Bike,Shalimar,Maniktala,77,115,null,null,No,null,847,UPI,26,3.2,3.3
22-01-2025,11:00:38,BK672796,Success,C43756,Prime SUV,Madhyamgram,Dumdum,null,null,null,null,null,null,802,null,0,null,null
23-01-2025,13:00:57,BK558895,Failed,C41557,Auto,Kidderpore,College Street,35,100,null,null,No,null,2727,Cash,11,4,3.7
20-01-2025,02:50:19,BK244653,Success,C82664,eBike,Lake Town,Dharmatala,null,null,Driver is not moving towards pickup location,null,null,null,389,null,0,null,null
17-01-2025,12:21:23,BK217659,Success,C31522,Bike,Patuli,Dumdum,287,125,null,null,Yes,Customer Demand,734,Cash,43,3.6,3.5
23-01-2025,23:16:34,BK486668,Success,C17076,Bike,Kasba,Garden Reach,301,135,null,null,No,null,1640,Cash,24,3.8,4.3
11-01-2025,06:22:17,BK610498,Success,C41319,Bike,BBD Bagh,Sinthi,null,null,null,null,null,null,159,null,0,null,null
13-01-2025,02:54:54,BK835224,Failed,C36781,Prime Sedan,Kankurgachi,Rajarhat,140,105,null,null,No,null,133,Cash,29,4.4,4
04-01-2025,21:42:33,BK148010,Success,C27824,Prime Sedan,Kidderpore,Baguiati,null,null,null,null,null,null,292,null,0,null,null
06-01-2025,16:14:50,BK152064,Failed,C10748,Prime Plus,Bhawanipore,Sonarpur,210,125,null,null,Yes,Vehicle Breakdown,164,UPI,28,4.8,4.2
18-01-2025,01:30:57,BK544694,Success,C86395,Bike,Howrah,Shyambazar,224,100,null,null,No,null,251,Cash,11,4.4,3.5
04-01-2025,21:55:36,BK304661,Success,C84551,Prime SUV,Ultadanga,Hazra,273,30,null,null,Yes,Vehicle Breakdown,208,Credit Card,27,4.7,4.7
04-01-2025,18:11:18,BK862652,Success,C90170,Bike,Ultadanga,Patuli,252,60,null,null,No,null,195,Cash,11,3.9,4.1
14-01-2025,03:50:42,BK730220,Failed,C94123,Prime Plus,Kidderpore,Kankurgachi,252,50,null,null,No,null,206,UPI,11,4,4.1
13-01-2025,23:10:41,BK700856,Success,C45009,eBike,Moulali,Bhawanipore,147,30,null,null,No,null,249,UPI,9,3.9,3.5
15-01-2025,04:17:11,BK289275,Failed,C34625,Prime Sedan,Kidderpore,Dunlop,203,65,null,null,No,null,1087,UPI,19,3.8,4.6
22-01-2025,09:40:27,BK422084,Success,C94508,Prime Plus,Jadavpur,Madhyamgram,35,145,null,null,No,null,213,Cash,1,4.7,3.6
22-01-2025,17:09:54,BK178218,Failed,C97490,Mini,Shalimar,Kalighat,105,50,null,null,No,null,218,UPI,4,3.4,4.3
09-01-2025,09:06:54,BK537859,Success,C55817,eBike,Garia,Lake Town,null,null,null,Customer related issue,null,null,525,null,0,null,null
03-01-2025,14:18:03,BK985330,Success,C61277,Mini,Hazra,Sarat Bose Road,null,null,Driver asked to cancel,null,null,null,441,null,0,null,null
19-01-2025,20:05:24,BK511558,Failed,C23331,Auto,Barasat,Dumdum,168,90,null,null,No,null,190,UPI,19,3.5,4.9
17-01-2025,04:40:29,BK327992,Failed,C38591,Prime Sedan,Chowringhee,Bowbazar,null,null,AC is Not working,null,null,null,206,null,0,null,null
19-01-2025,07:45:34,BK294343,Failed,C24723,Bike,Shalimar,Salt Lake,null,null,null,More than permitted people in there,null,null,574,null,0,null,null
15-01-2025,02:34:57,BK597129,Failed,C90336,Mini,Kidderpore,Bhawanipore,63,145,null,null,No,null,2230,UPI,31,4.2,4.8
05-01-2025,05:29:30,BK897914,Success,C86870,eBike,Belgachia,Maniktala,182,105,null,null,No,null,143,Cash,43,5,3.2
06-01-2025,04:24:44,BK754009,Failed,C34696,Mini,New Town,Park Street,null,null,null,Customer was coughing/sick,null,null,244,null,0,null,null
04-01-2025,00:04:39,BK138712,Success,C11261,Prime SUV,Hazra,Park Street,231,40,null,null,No,null,283,Cash,2,4.5,3.1
29-01-2025,08:11:36,BK229652,Success,C80911,Prime SUV,Moulali,Kidderpore,133,100,null,null,No,null,581,Cash,6,4.5,4.6
30-01-2025,11:59:14,BK250068,Success,C93370,Prime SUV,Shyambazar,Madhyamgram,84,115,null,null,No,null,464,UPI,36,4.4,4.7
22-01-2025,22:38:08,BK124560,Success,C92452,Bike,Ultadanga,Dunlop,112,70,null,null,No,null,385,UPI,15,4,3.5
30-01-2025,16:05:25,BK212471,Success,C12468,Auto,Kasba,Hazra,224,95,null,null,No,null,422,UPI,18,4.9,3.4
14-01-2025,21:38:00,BK810256,Failed,C33686,Prime Sedan,New Town,Rajarhat,287,85,null,null,No,null,1756,Cash,9,3.8,4.2
31-01-2025,03:42:27,BK313714,Success,C32166,Auto,Sealdah,Howrah,84,115,null,null,No,null,866,Cash,32,4.7,4.8
24-01-2025,10:53:32,BK557433,Success,C26732,Prime SUV,Tollygunge,Behala,63,140,null,null,No,null,466,Cash,18,4.8,4.8
07-01-2025,16:37:12,BK308126,Failed,C23004,Prime Plus,Dunlop,Kankurgachi,224,80,null,null,No,null,435,Cash,24,4,4.4
02-01-2025,22:37:17,BK479224,Success,C44444,Mini,Hazra,Madhyamgram,null,null,null,Customer related issue,null,null,1852,null,0,null,null
23-01-2025,00:31:32,BK420622,Success,C16848,Prime Plus,Dumdum,Lake Town,null,null,null,Customer related issue,null,null,222,null,0,null,null
